cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
P,2017_2020,n_pfoa,LBXNFOA,male,40-59,424,0.0047169811320754715,False,,0.6,0.7,1.1,1.5,2.2,3.0,3.8849999999999967
P,2017_2020,n_pfoa,LBXNFOA,male,60_plus,475,0.008421052631578947,False,,0.5,0.7,1.1,1.8,2.5,3.5,4.429999999999995
P,2017_2020,n_pfoa,LBXNFOA,male,all_ages,1506,0.00597609561752988,False,,0.5,0.7,1.0,1.4,2.1,3.0,3.8
P,2017_2020,n_pfos,LBXNFOS,all,12-19,521,0.0,False,,0.6,0.8,1.1,1.6,2.5,3.6,5.7
P,2017_2020,n_pfos,LBXNFOS,all,20-39,769,0.0039011703511053317,False,,0.5400000000000006,0.8,1.2,2.0,3.3,5.5,7.259999999999991
P,2017_2020,n_pfos,LBXNFOS,all,40-59,852,0.007042253521126761,False,,0.7,0.9100000000000009,1.7,3.0,5.225,9.589999999999998,13.4
P,2017_2020,n_pfos,LBXNFOS,all,60_plus,930,0.004301075268817204,False,,1.2,1.5,2.6,4.6,8.2,13.920000000000005,19.764999999999986
P,2017_2020,n_pfos,LBXNFOS,all,all_ages,3072,0.004231770833333333,False,,0.7,0.9,1.5,2.7,5.1,9.4,13.644999999999982
P,2017_2020,n_pfos,LBXNFOS,female,12-19,250,0.0,False,,0.5,0.7,0.9,1.4,1.9,3.3,4.264999999999995
P,2017_2020,n_pfos,LBXNFOS,female,20-39,433,0.004618937644341801,False,,0.5,0.7,1.0,1.6,2.4,3.7,5.3799999999999955
P,2017_2020,n_pfos,LBXNFOS,female,40-59,428,0.004672897196261682,False,,0.6,0.8,1.3,2.1,4.2,7.6,13.854999999999984
P,2017_2020,n_pfos,LBXNFOS,female,60_plus,455,0.002197802197802198,False,,1.1400000000000006,1.4,2.3,3.9,6.7,12.3,17.429999999999996
P,2017_2020,n_pfos,LBXNFOS,female,all_ages,1566,0.0031928480204342275,False,,0.6,0.8,1.3,2.1,3.9,7.4,12.375
P,2017_2020,n_pfos,LBXNFOS,male,12-19,271,0.0,False,,0.8,0.9,1.2,1.9,2.75,4.3,6.05
P,2017_2020,n_pfos,LBXNFOS,male,20-39,336,0.002976190476190476,False,,0.7,1.1,1.8,2.7,4.4,6.7,8.825
P,2017_2020,n_pfos,LBXNFOS,male,40-59,424,0.009433962264150943,False,,1.0,1.5,2.3,3.7,6.125,9.969999999999999,13.039999999999987
P,2017_2020,n_pfos,LBXNFOS,male,60_plus,475,0.00631578947368421,False,,1.2,1.9,3.1,5.2,9.149999999999999,14.960000000000003,22.529999999999998
P,2017_2020,n_pfos,LBXNFOS,male,all_ages,1506,0.005312084993359893,False,,0.9,1.2,2.0,3.4,5.975,10.3,14.674999999999999
P,2017_2020,sb_pfoa,LBXBFOA,all,12-19,521,0.9193857965451055,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
P,2017_2020,sb_pfoa,LBXBFOA,all,20-39,769,0.9466840052015605,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,40-59,852,0.9401408450704225,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,60_plus,930,0.9376344086021505,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,all_ages,3072,0.9375,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,12-19,250,0.936,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,20-39,433,0.9584295612009238,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,female,40-59,428,0.9439252336448598,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,60_plus,455,0.9384615384615385,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,all_ages,1566,0.9450830140485313,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,12-19,271,0.9040590405904059,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
P,2017_2020,sb_pfoa,LBXBFOA,male,20-39,336,0.9315476190476191,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,40-59,424,0.9363207547169812,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,60_plus,475,0.9368421052631579,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,all_ages,1506,0.9296148738379814,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sm_pfos,LBXMFOS,all,12-19,521,0.003838771593090211,False,,0.3,0.3,0.4,0.6,0.9,1.3,1.6
P,2017_2020,sm_pfos,LBXMFOS,all,20-39,769,0.01950585175552666,False,,0.2,0.3,0.4,0.7,1.2,2.0,2.6
P,2017_2020,sm_pfos,LBXMFOS,all,40-59,852,0.015258215962441314,False,,0.3,0.4,0.6,1.2,2.0,3.2,4.0
P,2017_2020,sm_pfos,LBXMFOS,all,60_plus,930,0.011827956989247311,False,,0.5,0.7,1.2,2.1,3.575,5.6,6.8
P,2017_2020,sm_pfos,LBXMFOS,all,all_ages,3072,0.013346354166666666,False,,0.3,0.3,0.6,1.1,2.1,3.6,5.044999999999981
P,2017_2020,sm_pfos,LBXMFOS,female,12-19,250,0.008,False,,0.2,0.3,0.4,0.5,0.7,0.9,1.3
P,2017_2020,sm_pfos,LBXMFOS,female,20-39,433,0.018475750577367205,False,,0.2,0.2,0.3,0.5,0.8,1.2,1.4
P,2017_2020,sm_pfos,LBXMFOS,female,40-59,428,0.014018691588785047,False,,0.2,0.3,0.4,0.8,1.3,2.2300000000000013,2.9649999999999976
P,2017_2020,sm_pfos,LBXMFOS,female,60_plus,455,0.006593406593406593,False,,0.5,0.7,1.1,1.9,3.25,5.160000000000002,6.6
P,2017_2020,sm_pfos,LBXMFOS,female,all_ages,1566,0.012132822477650063,False,,0.2,0.3,0.4,0.8,1.5,2.9,4.2
P,2017_2020,sm_pfos,LBXMFOS,male,12-19,271,0.0,False,,0.3,0.4,0.5,0.7,1.0,1.5,2.0
P,2017_2020,sm_pfos,LBXMFOS,male,20-39,336,0.020833333333333332,False,,0.3,0.4,0.8,1.2,1.8,2.6,3.3249999999999997
P,2017_2020,sm_pfos,LBXMFOS,male,40-59,424,0.01650943396226415,False,,0.6,0.8,1.1,1.7,2.6,3.7,4.584999999999996
P,2017_2020,sm_pfos,LBXMFOS,male,60_plus,475,0.016842105263157894,False,,0.6,0.8,1.5,2.5,3.8,5.860000000000002,7.1
P,2017_2020,sm_pfos,LBXMFOS,male,all_ages,1506,0.014608233731739707,False,,0.4,0.5,0.8,1.5,2.6,4.0,5.5
